Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,
182,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,5,b,69,,0,0,1,0,1,1,Simple,,,,,,,,,
183,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,5,f,33,,0,0,1,0,1,1,Simple,,,,,,,,,
184,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,6,m,61,,0,0,1,0,1,0,Simple,,,,,,,,,
185,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,7,m,20,,0,0,0,0,1,1,Simple,2LS,,,,,,,,
186,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,8,f,64,,0,0,0,0,1,1,Simple,,,,,,,,,
189,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,11,m,68,,0,0,0,0,1,0,Simple,,,,,,,,,
192,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,14,f,68,,0,0,0,0,1,0,Simple,,,,,,,,,
193,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,15,,,,0,0,0,0,1,0,Simple,LS,,,,,,,,
194,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,16,f,32,,0,0,0,0,1,1,Simple,LS,,,,,,,,
195,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,17,f,18,,0,0,0,0,1,0,Simple,,,,,,,,,
196,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,18,f,67,,0,0,0,0,1,1,Simple,,,,,,,,,
197,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,18,f,26,,0,0,0,0,1,1,Simple,,,,,,,,,
198,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,19,m,43,,0,0,0,0,1,1,Simple,,,,,,,,,
199,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,19,m,50,,0,0,0,0,1,1,Simple,,,,,,,,,
200,27,7,2004,Elandry,4749.896,6508.353,4749.875,6508.422,35,GA1,CI1,20,f,80,,0,0,0,0,1,1,Simple,LS,,,,,,,,
201,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,1,,,,0,0,0,0,1,1,Simple,,,,,,,,,
202,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,2,b,69,,0,0,0,0,1,1,Simple,LS,,,,,,,,
203,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,3,f,49,,0,0,0,0,1,1,Simple,,,,,,,,,
204,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,3,f,33,,0,0,0,0,1,1,Simple,,,,,,,,,
205,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,3,m,55,,0,0,0,0,1,1,Simple,,,,,,,,,
206,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,4,m,17,,0,0,0,0,1,1,Simple,,,,,,,,,
207,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,5,m,62,,0,0,0,0,1,1,Simple,,,,,,,,,
208,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,6,m,63,,0,0,0,0,1,1,Simple,,,,,,,,,
209,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,7,m,39,,0,0,0,0,1,1,Simple,,,,,,,,,
210,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,7,m,37,,0,0,0,0,1,1,Simple,,,,,,,,,
211,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,8,m,80,,0,0,0,0,1,1,Simple,,,,,,,,,
218,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,15,f,68,,0,0,0,0,1,0,Simple,,,,,,,,,
221,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,18,f,75,,0,0,0,0,1,1,Simple,,,,,,,,,
222,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,19,m,43,,0,0,0,0,1,1,Simple,,,,,,,,,
223,27,7,2004,Rfrigo,4749.896,6508.353,4749.875,6508.422,31,GA1,CI1,20,,,,0,0,0,0,1,1,Simple,,,,,,,,,
224,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,1,,,,0,0,0,0,1,1,Simple,,,,,,,,,
225,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,2,m,54,,0,0,1,0,1,1,Simple,,,,,,,,,
226,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,2,m,70,,0,0,1,0,1,1,Simple,,,,,,,,,
227,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,2,f,36,,0,0,1,0,1,1,Simple,,,,,,,,,
228,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,3,f,64,,0,0,0,0,1,1,Simple,,,,,,,,,
229,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,3,f,27,,0,0,0,0,1,1,Simple,,,,,,,,,
230,28,7,2004,Elandry,4749.839,6508.374,4749.839,6508.449,29,GA1,CI2,4,,,,0,0,0,0,1,0,Simple,LS,,,,,,,,
